dialogue_id,intra_dialogue_id,target,question,answer,candidates,candidates_scores,p_distribuition
0,0,fox,Is the item you are thinking of a bird?,No.,"[{'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}]","{'hamster': 5.0, 'fox': 5.0, 'elk': 5.0, 'buffalo': 5.0}","{'hamster': 0.25, 'fox': 0.25, 'elk': 0.25, 'buffalo': 0.25}"
0,1,fox,Is the item you are thinking of a mammal?,Yes.,"[{'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'chicken', 'buffalo', 'fox', 'hamster', 'elk'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}, {'hamster', 'fox', 'elk', 'buffalo'}]","{'hamster': 4.95, 'fox': 4.95, 'elk': 4.95, 'buffalo': 4.95, 'chicken': 0.2}","{'hamster': 0.2475, 'fox': 0.2475, 'elk': 0.2475, 'buffalo': 0.2475, 'chicken': 0.01}"
0,2,fox,Is the item you are thinking of a large mammal?,No.,"[{'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster', 'fox'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster', 'fox'}, {'hamster'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'hamster', 'fox'}, {'hamster'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}, {'chicken', 'robin', 'elk', 'starling', 'fox', 'buffalo', 'hamster', 'partridge'}, {'chicken', 'starling', 'fox', 'hamster', 'robin', 'elk', 'partridge'}]","{'chicken': 1.696428571428571, 'starling': 1.696428571428571, 'fox': 3.196428571428571, 'hamster': 8.196428571428573, 'robin': 1.696428571428571, 'elk': 1.696428571428571, 'partridge': 1.696428571428571, 'buffalo': 0.125}","{'chicken': 0.0848, 'starling': 0.0848, 'fox': 0.1598, 'hamster': 0.4098, 'robin': 0.0848, 'elk': 0.0848, 'partridge': 0.0848, 'buffalo': 0.0063}"
0,3,fox,Is the item you are thinking of a small mammal?,Yes.,"[{'hamster'}, {'hamster'}, {'chicken', 'hamster'}, {'hamster'}, {'chicken', 'hamster', 'fox'}, {'hamster', 'fox'}, {'chicken', 'hamster'}, {'hamster'}, {'hamster', 'fox'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'chicken', 'hamster'}, {'hamster', 'fox'}, {'hamster'}, {'hamster'}]","{'hamster': 16.333333333333336, 'chicken': 1.8333333333333333, 'fox': 1.8333333333333333}","{'hamster': 0.8167, 'chicken': 0.0917, 'fox': 0.0917}"
0,4,fox,Is the item you are thinking of commonly kept as a pet?,No.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'chicken', 'starling', 'fox', 'robin', 'elk', 'partridge'}, {'chicken', 'starling', 'fox', 'robin', 'elk', 'partridge'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'fox'}, {'hamster'}, {'hamster'}, {'hamster'}, {'fox'}, {'chicken', 'starling', 'fox', 'robin', 'elk', 'partridge'}, {'hamster'}, {'hamster'}]","{'hamster': 15.0, 'chicken': 0.5, 'starling': 0.5, 'fox': 2.4999999999999996, 'robin': 0.5, 'elk': 0.5, 'partridge': 0.5}","{'hamster': 0.75, 'chicken': 0.025, 'starling': 0.025, 'fox': 0.125, 'robin': 0.025, 'elk': 0.025, 'partridge': 0.025}"
0,5,fox,Is the item you are thinking of a rodent?,No.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'chicken', 'robin', 'elk', 'starling', 'fox', 'buffalo', 'hamster', 'partridge'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'chicken', 'robin', 'elk', 'starling', 'fox', 'buffalo', 'hamster', 'partridge'}, {'hamster'}, {'hamster'}, {'hamster'}]","{'hamster': 18.25, 'chicken': 0.25, 'robin': 0.25, 'elk': 0.25, 'starling': 0.25, 'fox': 0.25, 'buffalo': 0.25, 'partridge': 0.25}","{'hamster': 0.9125, 'chicken': 0.0125, 'robin': 0.0125, 'elk': 0.0125, 'starling': 0.0125, 'fox': 0.0125, 'buffalo': 0.0125, 'partridge': 0.0125}"
0,6,fox,Is the item you are thinking of known for its agility and quick movements?,Yes.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}]",{'hamster': 20.0},{'hamster': 1.0}
0,7,fox,Is the item you are thinking of a hamster?,No.,"[{'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'buffalo'}, {'fox'}]","{'fox': 19.0, 'buffalo': 1.0}","{'fox': 0.95, 'buffalo': 0.05}"
0,8,fox,Is the item you are thinking of a fox?,Yes! That's correct.,"[{'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}]",{'fox': 20.0},{'fox': 1.0}
1,0,fawn,Is the item you have selected a bird?,No.,"[{'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'zebra', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}]","{'sheep': 6.916666666666665, 'fawn': 5.916666666666665, 'deer': 6.916666666666665, 'zebra': 0.25}","{'sheep': 0.3458, 'fawn': 0.2958, 'deer': 0.3458, 'zebra': 0.0125}"
