dialogue_id,intra_dialogue_id,target,question,answer,p_distribuition
0,0,fox,Is your item a bird?,No.,"{'elk': 1.0, 'chicken': 0.6, 'robin': 0.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 1.0, 'buffalo': 1.0}","{'elk': 0.2173913043478261, 'chicken': 0.13043478260869565, 'robin': 0.0, 'starling': 0.0, 'fox': 0.2173913043478261, 'partridge': 0.0, 'hamster': 0.2173913043478261, 'buffalo': 0.2173913043478261}"
0,1,fox,Is your item a mammal?,Yes.,"{'elk': 1.0, 'chicken': 1.0, 'robin': 1.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 1.0, 'buffalo': 1.0}","{'elk': 0.16666666666666666, 'chicken': 0.16666666666666666, 'robin': 0.16666666666666666, 'starling': 0.0, 'fox': 0.16666666666666666, 'partridge': 0.0, 'hamster': 0.16666666666666666, 'buffalo': 0.16666666666666666}"
0,2,fox,Is your item typically kept as a pet?,No.,"{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 0.0, 'buffalo': 0.0}","{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 0.0, 'buffalo': 0.0}"
0,3,fox,Is your item larger than a dog?,No.,"{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 1.0, 'fox': 0.0, 'partridge': 0.0, 'hamster': 1.0, 'buffalo': 0.0}","{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.5, 'fox': 0.0, 'partridge': 0.0, 'hamster': 0.5, 'buffalo': 0.0}"
0,4,fox,Is your item commonly found in forests or woodlands?,Yes.,"{'elk': 1.0, 'chicken': 0.2, 'robin': 0.0, 'starling': 1.0, 'fox': 1.0, 'partridge': 0.0, 'hamster': 1.0, 'buffalo': 0.4}","{'elk': 0.21739130434782605, 'chicken': 0.043478260869565216, 'robin': 0.0, 'starling': 0.21739130434782605, 'fox': 0.21739130434782605, 'partridge': 0.0, 'hamster': 0.21739130434782605, 'buffalo': 0.08695652173913043}"
0,5,fox,Is your item a fox?,Yes! That's correct.,"{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 1.0, 'partridge': 0.6, 'hamster': 0.4, 'buffalo': 0.0}","{'elk': 0.0, 'chicken': 0.0, 'robin': 0.0, 'starling': 0.0, 'fox': 0.5, 'partridge': 0.3, 'hamster': 0.2, 'buffalo': 0.0}"
1,0,fawn,Is the item you have assigned an animal?,Yes.,"{'budgie': 1.0, 'zebra': 1.0, 'deer': 1.0, 'penguin': 1.0, 'pelican': 1.0, 'sheep': 1.0, 'fawn': 1.0, 'ostrich': 1.0}","{'budgie': 0.125, 'zebra': 0.125, 'deer': 0.125, 'penguin': 0.125, 'pelican': 0.125, 'sheep': 0.125, 'fawn': 0.125, 'ostrich': 0.125}"
1,1,fawn,Can the animal you have assigned fly?,No.,"{'budgie': 0.0, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 0.4, 'ostrich': 0.0}","{'budgie': 0.0, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 1.0, 'ostrich': 0.0}"
1,2,fawn,Does the animal you have assigned have hooves?,Yes.,"{'budgie': 0.6, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 0.0, 'ostrich': 0.0}","{'budgie': 1.0, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 0.0, 'ostrich': 0.0}"
1,3,fawn,Is the animal you have assigned a deer?,Yes! That's correct.,"{'budgie': 0.0, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 1.0, 'ostrich': 0.0}","{'budgie': 0.0, 'zebra': 0.0, 'deer': 0.0, 'penguin': 0.0, 'pelican': 0.0, 'sheep': 0.0, 'fawn': 1.0, 'ostrich': 0.0}"
2,0,zebra,Is your item a bird?,No.,"{'pelican': 0.0, 'bear': 1.0, 'zebra': 1.0, 'walrus': 1.0, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 0.0, 'otter': 1.0}","{'pelican': 0.0, 'bear': 0.25, 'zebra': 0.25, 'walrus': 0.25, 'vulture': 0.0, 'chickadee': 0.0, 'finch': 0.0, 'otter': 0.25}"
