dialogue_id,intra_dialogue_id,target,question,answer,candidates,candidates_scores,p_distribuition
0,0,fox,Is your item a bird?,No.,"[{'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}, {'fox', 'chicken', 'elk', 'buffalo', 'hamster'}]","{'fox': 4.000000000000001, 'chicken': 4.000000000000001, 'elk': 4.000000000000001, 'buffalo': 4.000000000000001, 'hamster': 4.000000000000001}","{'fox': 0.2, 'chicken': 0.2, 'elk': 0.2, 'buffalo': 0.2, 'hamster': 0.2}"
0,1,fox,Is your item a mammal?,Yes.,"[{'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}, {'fox', 'buffalo', 'hamster', 'elk'}]","{'fox': 5.083333333333333, 'buffalo': 4.75, 'hamster': 5.083333333333333, 'elk': 5.083333333333333}","{'fox': 0.2542, 'buffalo': 0.2375, 'hamster': 0.2542, 'elk': 0.2542}"
0,2,fox,Is your item typically kept as a pet?,No.,"[{'fox', 'buffalo', 'elk'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'fox', 'elk'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox', 'buffalo', 'elk'}, {'fox', 'buffalo', 'elk'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox', 'buffalo', 'elk'}]","{'fox': 6.033333333333333, 'buffalo': 5.533333333333334, 'elk': 6.033333333333333, 'hamster': 1.2, 'chicken': 1.2}","{'fox': 0.3017, 'buffalo': 0.2767, 'elk': 0.3017, 'hamster': 0.06, 'chicken': 0.06}"
0,3,fox,Is your item larger than a dog?,No.,"[{'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'None'}, {'fox'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'None'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}]","{'elk': 2.8000000000000003, 'hamster': 2.8000000000000003, 'fox': 6.8000000000000025, 'buffalo': 2.8000000000000003, 'chicken': 2.8000000000000003, 'None': 2.0}","{'elk': 0.14, 'hamster': 0.14, 'fox': 0.34, 'buffalo': 0.14, 'chicken': 0.14, 'None': 0.1}"
0,4,fox,Is your item commonly found in forests or woodlands?,Yes.,"[{'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox', 'elk'}, {'fox'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'None'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox', 'elk'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'fox'}]","{'elk': 2.4, 'hamster': 1.4, 'fox': 12.399999999999999, 'buffalo': 1.4, 'chicken': 1.4, 'None': 1.0}","{'elk': 0.12, 'hamster': 0.07, 'fox': 0.62, 'buffalo': 0.07, 'chicken': 0.07, 'None': 0.05}"
0,5,fox,Is your item a fox?,Yes! That's correct.,"[{'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'elk', 'hamster', 'fox', 'buffalo', 'chicken'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}]","{'elk': 1.0, 'hamster': 1.0, 'fox': 16.0, 'buffalo': 1.0, 'chicken': 1.0}","{'elk': 0.05, 'hamster': 0.05, 'fox': 0.8, 'buffalo': 0.05, 'chicken': 0.05}"
1,0,fawn,Is the item you have assigned an animal?,Yes.,"[{'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}]","{'penguin': 2.5, 'deer': 2.5, 'zebra': 2.5, 'budgie': 2.5, 'fawn': 2.5, 'sheep': 2.5, 'pelican': 2.5, 'ostrich': 2.5}","{'penguin': 0.125, 'deer': 0.125, 'zebra': 0.125, 'budgie': 0.125, 'fawn': 0.125, 'sheep': 0.125, 'pelican': 0.125, 'ostrich': 0.125}"
1,1,fawn,Can the animal you have assigned fly?,No.,"[{'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}, {'zebra', 'penguin', 'sheep', 'deer', 'ostrich', 'fawn'}]","{'penguin': 2.7916666666666665, 'deer': 2.7916666666666665, 'zebra': 2.7916666666666665, 'budgie': 1.625, 'fawn': 2.7916666666666665, 'sheep': 2.7916666666666665, 'pelican': 1.625, 'ostrich': 2.7916666666666665}","{'penguin': 0.1396, 'deer': 0.1396, 'zebra': 0.1396, 'budgie': 0.0813, 'fawn': 0.1396, 'sheep': 0.1396, 'pelican': 0.0813, 'ostrich': 0.1396}"
1,2,fawn,Does the animal you have assigned have hooves?,Yes.,"[{'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'deer', 'sheep', 'fawn', 'zebra'}, {'deer', 'sheep', 'fawn', 'zebra'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'deer', 'sheep', 'fawn', 'zebra'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}]","{'penguin': 2.125, 'deer': 2.875, 'zebra': 2.875, 'budgie': 2.125, 'fawn': 2.875, 'sheep': 2.875, 'pelican': 2.125, 'ostrich': 2.125}","{'penguin': 0.1062, 'deer': 0.1437, 'zebra': 0.1437, 'budgie': 0.1062, 'fawn': 0.1437, 'sheep': 0.1437, 'pelican': 0.1062, 'ostrich': 0.1062}"
1,3,fawn,Is the animal you have assigned a deer?,Yes! That's correct.,"[{'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}, {'penguin', 'deer', 'zebra', 'budgie', 'fawn', 'sheep', 'pelican', 'ostrich'}]","{'penguin': 2.5, 'deer': 2.5, 'zebra': 2.5, 'budgie': 2.5, 'fawn': 2.5, 'sheep': 2.5, 'pelican': 2.5, 'ostrich': 2.5}","{'penguin': 0.125, 'deer': 0.125, 'zebra': 0.125, 'budgie': 0.125, 'fawn': 0.125, 'sheep': 0.125, 'pelican': 0.125, 'ostrich': 0.125}"
