dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is the item you are thinking of a bird?,No.,"[{'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}]","{'hamster': 1.25, 'fox': 1.25, 'buffalo': 1.25, 'elk': 1.25}","{'hamster': 0.25, 'fox': 0.25, 'buffalo': 0.25, 'elk': 0.25}"
0,fox,1,Is the item you are thinking of a mammal?,Yes.,"[{'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}, {'hamster', 'fox', 'buffalo', 'elk'}]","{'hamster': 1.25, 'fox': 1.25, 'buffalo': 1.25, 'elk': 1.25}","{'hamster': 0.25, 'fox': 0.25, 'buffalo': 0.25, 'elk': 0.25}"
0,fox,2,Is the item you are thinking of a large mammal?,No.,"[{'hamster'}, {'hamster', 'fox'}, {'starling', 'robin', 'partridge', 'elk', 'hamster', 'fox', 'chicken'}, {'hamster'}, {'hamster'}]","{'hamster': 3.642857142857143, 'fox': 0.6428571428571428, 'starling': 0.14285714285714285, 'robin': 0.14285714285714285, 'partridge': 0.14285714285714285, 'elk': 0.14285714285714285, 'chicken': 0.14285714285714285}","{'hamster': 0.7286, 'fox': 0.1286, 'starling': 0.0286, 'robin': 0.0286, 'partridge': 0.0286, 'elk': 0.0286, 'chicken': 0.0286}"
0,fox,3,Is the item you are thinking of a small mammal?,Yes.,"[{'hamster'}, {'hamster'}, {'hamster', 'fox'}, {'hamster'}, {'hamster'}]","{'hamster': 4.5, 'fox': 0.5}","{'hamster': 0.9, 'fox': 0.1}"
0,fox,4,Is the item you are thinking of commonly kept as a pet?,No.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'starling', 'buffalo', 'robin', 'partridge', 'elk', 'fox', 'chicken'}, {'hamster'}]","{'hamster': 4.0, 'starling': 0.14285714285714285, 'buffalo': 0.14285714285714285, 'robin': 0.14285714285714285, 'partridge': 0.14285714285714285, 'elk': 0.14285714285714285, 'fox': 0.14285714285714285, 'chicken': 0.14285714285714285}","{'hamster': 0.8, 'starling': 0.0286, 'buffalo': 0.0286, 'robin': 0.0286, 'partridge': 0.0286, 'elk': 0.0286, 'fox': 0.0286, 'chicken': 0.0286}"
0,fox,5,Is the item you are thinking of a rodent?,No.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'starling', 'elk', 'chicken', 'buffalo', 'robin', 'partridge', 'fox', 'hamster'}]","{'hamster': 4.125, 'starling': 0.125, 'elk': 0.125, 'chicken': 0.125, 'buffalo': 0.125, 'robin': 0.125, 'partridge': 0.125, 'fox': 0.125}","{'hamster': 0.825, 'starling': 0.025, 'elk': 0.025, 'chicken': 0.025, 'buffalo': 0.025, 'robin': 0.025, 'partridge': 0.025, 'fox': 0.025}"
0,fox,6,Is the item you are thinking of known for its agility and quick movements?,Yes.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}]",{'hamster': 5.0},{'hamster': 1.0}
0,fox,7,Is the item you are thinking of a hamster?,No.,"[{'fox'}, {'fox'}, {'fox'}, {'fox'}, {'buffalo'}]","{'fox': 4.0, 'buffalo': 1.0}","{'fox': 0.8, 'buffalo': 0.2}"
0,fox,8,Is the item you are thinking of a fox?,Yes! That's correct.,"[{'fox'}, {'buffalo', 'fox', 'elk'}, {'fox'}, {'fox'}, {'fox'}]","{'fox': 4.333333333333333, 'buffalo': 0.3333333333333333, 'elk': 0.3333333333333333}","{'fox': 0.8667, 'buffalo': 0.0667, 'elk': 0.0667}"
1,fawn,0,Is the item you have selected a bird?,No.,"[{'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}]","{'sheep': 1.6666666666666665, 'fawn': 1.6666666666666665, 'deer': 1.6666666666666665}","{'sheep': 0.3333, 'fawn': 0.3333, 'deer': 0.3333}"
1,fawn,1,Is the item you have selected a mammal?,Yes.,"[{'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer', 'zebra'}]","{'sheep': 1.5, 'fawn': 1.5, 'deer': 1.5, 'zebra': 0.5}","{'sheep': 0.3, 'fawn': 0.3, 'deer': 0.3, 'zebra': 0.1}"
1,fawn,2,Is the item you have selected a herbivore?,Yes.,"[{'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer'}, {'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer', 'zebra'}]","{'sheep': 1.3333333333333333, 'fawn': 1.3333333333333333, 'deer': 1.3333333333333333, 'zebra': 1.0}","{'sheep': 0.2667, 'fawn': 0.2667, 'deer': 0.2667, 'zebra': 0.2}"
1,fawn,3,Is the item you have selected a deer?,Yes! That's correct.,"[{'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer', 'zebra'}, {'fawn', 'sheep'}, {'sheep', 'fawn', 'deer', 'zebra'}, {'sheep', 'fawn', 'deer', 'zebra'}]","{'sheep': 1.5, 'fawn': 1.5, 'deer': 1.0, 'zebra': 1.0}","{'sheep': 0.3, 'fawn': 0.3, 'deer': 0.2, 'zebra': 0.2}"
