dialogue_id,intra_dialogue_id,target,question,answer,candidates,probability
0,fox,0,Is your item a bird?,No.,"['elk', 'chicken', 'fox', 'hamster', 'buffalo']",0.2
0,fox,1,Is your item a mammal?,Yes.,['buffalo'],1.0
0,fox,2,Is your item typically kept as a pet?,No.,"['elk', 'fox', 'buffalo']",0.3333333333333333
0,fox,3,Is your item larger than a dog?,No.,"['elk', 'fox', 'buffalo.']",0.3333333333333333
0,fox,4,Is your item commonly found in forests or woodlands?,Yes.,"['elk', 'fox', 'buffalo']",0.3333333333333333
0,fox,5,Is your item a fox?,Yes! That's correct.,['fox'],1.0
1,fawn,0,Is the item you have assigned an animal?,Yes.,"['budgie', 'zebra', 'deer', 'penguin', 'pelican', 'sheep', 'fawn', 'ostrich']",0.125
1,fawn,1,Can the animal you have assigned fly?,No.,"['zebra', 'deer', 'penguin', 'sheep', 'fawn', 'ostrich']",0.16666666666666666
1,fawn,2,Does the animal you have assigned have hooves?,Yes.,"['deer', 'sheep', 'fawn']",0.3333333333333333
1,fawn,3,Is the animal you have assigned a deer?,Yes! That's correct.,"['budgie', 'zebra', 'deer', 'penguin', 'pelican', 'sheep', 'fawn', 'ostrich\n\nFor the second question', 'we need to find all the animals that cannot fly. The animals that cannot fly from the candidates set are: deer', 'sheep.\n']",0.1
2,zebra,0,Is your item a bird?,No.,"['bear', 'zebra', 'walrus', 'otter']",0.25
2,zebra,1,Is your item a mammal?,Yes.,"['bear', 'zebra', 'walrus', 'otter']",0.25
2,zebra,2,Is your item a marine mammal?,No.,"['bear', 'otter.']",0.5
2,zebra,3,Is your item a land mammal?,Yes.,"['bear', 'otter']",0.5
2,zebra,4,Is your item a carnivore?,Yes.,"['bear', 'otter']",0.5
2,zebra,5,Is your item a large carnivore?,Yes.,['bear'],1.0
2,zebra,6,Is your item a bear?,No.,"['pelican', 'vulture', 'chickadee', 'finch', 'bear', 'zebra', 'walrus', 'otter']",0.125
2,zebra,7,Is your item a walrus?,No.,['otter'],1.0
2,zebra,8,Is your item an otter?,No.,"['pelican', 'vulture', 'chickadee', 'finch']",0.25
2,zebra,9,Is your item a vulture?,No.,['zebra'],1.0
2,zebra,10,Is your item a zebra?,Yes! That's correct.,['zebra'],1.0
3,rooster,0,Is the item you are thinking of a bird?,Yes.,"['peacock', 'budgie', 'turkey', 'rooster']",0.25
3,rooster,1,Is the item you are thinking of a peacock?,No.,"['budgie', 'turkey', 'rooster.']",0.3333333333333333
3,rooster,2,Is the item you are thinking of a budgie?,No.,"['platypus', 'pig', 'turkey', 'beaver', 'deer', 'rooster']",0.16666666666666666
3,rooster,3,Is the item you are thinking of a rooster?,Yes! That's correct.,['rooster'],1.0
4,owl,0,Is the item you have a bird?,Yes.,"['falcon', 'eagle', 'owl', 'pigeon']",0.25
4,owl,1,Is the item you have a bird of prey?,Yes.,"['falcon', 'eagle']",0.5
4,owl,2,Is the item you have an eagle?,No.,['falcon'],1.0
4,owl,3,Is the item you have a falcon?,No.,"['owl', 'pigeon', 'chimp']",0.3333333333333333
4,owl,4,Is the item you have an owl?,Yes! That's correct.,['owl'],1.0
5,falcon,0,Is your item a bird?,Yes.,"['falcon', 'peacock', 'owl', 'parakeet']",0.25
5,falcon,1,Is your item a parakeet?,No.,"['falcon', 'peacock', 'owl']",0.3333333333333333
5,falcon,2,Is your item an owl?,No.,['falcon'],1.0
5,falcon,3,Is your item a falcon?,Yes! That's correct.,['falcon'],1.0
