target,question,answer
fox ,Does the item you are thinking of have fur or hair?,yes
fox ,Is the item you are thinking of a bird?,no
fawn ,Is the animal you're thinking of commonly found in Africa?,no
fawn ,Is the animal you're thinking of a type of deer?,yes
zebra ,Does the item you are thinking of live on land?,yes
zebra ,Is the item you are thinking of a zebra?,yes
hamster ,Is the animal you have a small animal?,yes
hamster ,Is the animal you have a hamster?,yes
dolphin ,Is the item you have a living animal?,yes
dolphin ,Is the animal you have a dolphin?,yes
deer ,Is the item an animal?,yes
deer ,Is the item an accessory worn on the body?,no
seal ,Is it a marine animal?,yes
seal ,Is it a seal?,yes
bear ,Is the animal you are thinking of known for hibernation during the winter months?,yes
bear ,Is the item you are thinking of an animal?,yes
seal ,Is your animal a marine mammal?,yes
seal ,Is your item an animal?,yes
caribou ,Is the animal you are thinking of a rodent?,no
caribou ,Is the animal you are thinking of smaller than a dog?,no
zebra ,Is the item an animal?,yes
zebra ,Does the animal have stripes?,yes
cow ,Is the animal you are thinking of a cow?,yes
cow ,Is it a deer?,no
mink ,Is the item you have an animal?,yes
mink ,Is it a land animal?,yes
gorilla ,"So, is the item a gorilla?",yes
gorilla ,Is the item an animal?,yes
elk ,Is the animal usually found in the forest?,yes
elk ,Is the animal an herbivore?,no
rooster ,Does the bird you are thinking of have the ability to mimic or replicate sounds?,no
rooster ,Is the item you are thinking of an animal?,yes
owl ,Is your item an eagle?,no
owl ,Does your bird have a white head?,no
falcon ,Sorry for the mistake. Is the bird you are thinking of known for its long and slender legs and long neck?,no
falcon ,Is the bird you are thinking of smaller than a crow?,no
penguin ,Is the bird you have unable to fly?,no
penguin ,Is the item you have an article of clothing?,no
stork ,Does the bird you are thinking of have long legs and a long neck?,yes
stork ,Is the item you are thinking of a bird?,yes
hawk ,Is the bird you are thinking of a falcon?,no
hawk ,Is the bird you are thinking of a hawk?,yes
penguin ,Is your item a bird?,yes
penguin ,Is your item an animal?,yes
penguin ,Is your animal flightless?,yes
penguin ,Is your item an animal?,yes
seagull ,Is it a water bird?,yes
seagull ,Is it a bird of prey? (i.e. does it hunt for food?),no
budgie ,Does the bird have black color feathers?,no
budgie ,Is the bird you are thinking of a type of parrot?,yes
dove ,My apologies. Does the bird you have a reddish-colored chest?,no
dove ,"The animal you have is a swan, am I correct?",no
woodpecker ,Is it a bird?,yes
woodpecker ,Is the bird well known for its singing abilities?,no
crow ,Is the bird you are thinking of a Starling?,no
crow ,Is the bird you are thinking of larger than a crow?,no
blackbird ,Is the item you've been assigned a bird?,yes
blackbird ,Does the bird have black plumage?,yes
parakeet ,Does the bird have a crest on its head?,yes
parakeet ,The bird you are thinking of is a parakeet.,yes
boots ,Is the item a type of footwear mainly used for certain sports or activities?,no
boots ,Is the item designed for use in a specific environment or activity?,yes
tie ,Is the item you have an accessory?,yes
tie ,Is the accessory you are wearing typically worn by women?,no
belt ,Is the item you were assigned typically worn around the waist?,yes
belt ,Is the item you were assigned worn on the upper body?,no
bra ,Is the item worn on the upper body?,yes
bra ,Is the item specifically designed for women?,yes
belt ,"Does the item you have a functional use aside from covering the body? (e.g. tools, utensils)",no
belt ,Is the item you have meant to be worn on the upper part of the body? (e.g. torso or neck),no
bra ,Is the item you are thinking of typically worn by women?,yes
bra ,Is the item you are thinking of worn on the body?,yes
cape ,Is the item a piece of clothing?,yes
cape ,Is the item a type of cloak or poncho?,no
cape ,Is the item a type of protective gear?,no
cape ,Is the item wearable?,yes
trousers ,Is it a type of trousers that men usually wear?,no
trousers ,Is it a piece of clothing?,no
swimsuit ,Is your item worn as a lower body garment?,yes
swimsuit ,Is your item usually worn outdoors?,yes
trousers ,Is the item you were assigned a piece of clothing?,no
trousers ,Is the item you were assigned worn on the upper part of the body?,yes
