dialogue_id,intra_dialogue_id,question,answer,target,canditates,dist
2,6,Is your item a bear?,No.,zebra,"['pelican', 'bear', 'zebra', 'walrus', 'vulture', 'chickadee', 'finch', 'otter']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2,7,Is your item a walrus?,No.,zebra,"['pelican', 'bear', 'zebra', 'walrus', 'vulture', 'chickadee', 'finch', 'otter']","[0, 0, 0, 0, 0, 0, 0, 0]"
2,8,Is your item an otter?,No.,zebra,"['pelican', 'bear', 'zebra', 'walrus', 'vulture', 'chickadee', 'finch', 'otter']","[0, 0, 0, 0, 0, 0, 0, 0]"
2,9,Is your item a vulture?,No.,zebra,"['pelican', 'bear', 'zebra', 'walrus', 'vulture', 'chickadee', 'finch', 'otter']","[0, 0, 0, 0, 0, 0, 0, 0]"
9,6,Is the item typically worn in warm weather?,No.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
9,7,Is the item typically worn as a protective covering?,Yes.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
9,8,Is the item typically worn outdoors?,Yes.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
9,9,Is the item typically worn to protect against rain or snow?,Yes.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0, 0, 0, 0, 0, 0, 0, 0]"
9,10,Is the item a cape?,No.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0, 0, 0, 0, 0, 0, 0, 0]"
9,11,Is the item a pair of trousers?,No.,boots,"['boots', 'fawn', 'seal', 'cape', 'otter', 'swimsuit', 'porcupine', 'trousers']","[0, 0, 0, 0, 0, 0, 0, 0]"
