target,question,answer,question_confidence,question_observed_consistency,question_self_reflection,answer_confidence,answer_observed_consistency,answer_self_reflection,question_time,answer_time
dalmatian,Is the item you have assigned a bird?,No.,0,0,0,0,0.8560137438774109,0.7943053483963013,1.0,0.9411959648132324,9.703670978546143
dalmatian,Is the item you have assigned a mammal?,Yes.,0,0,0,0,0.12318902716040613,0.1759843245148659,0.0,0.7188200950622559,10.892709016799927
dalmatian,Is the item you have assigned a quadruped (an animal that walks on four legs)?,answerer: Yes.,0,0,0,0,0.8373462872505189,0.7676375532150269,1.0,0.7369217872619629,13.345476865768433
dalmatian,Is the item you have assigned a domesticated animal?,answerer: Yes.,0,0,0,0,0.6462473058700562,0.7089247226715087,0.5,0.784121036529541,21.29112482070923
dalmatian,Is the item you have assigned commonly kept as a pet?,Yes! That's correct.,0,0,0,0,0.6314070912599564,0.5805815589427948,0.75,0.9357161521911621,20.0611310005188
skunk,Is your item a bird?,No.,0,0,0,0,0.8552640938758851,0.7932344198226929,1.0,0.72586989402771,10.288676023483276
skunk,Is your item a mammal?,Yes.,0,0,0,0,0.06563995825499296,0.09377136893570423,0.0,0.698868989944458,11.648976802825928
skunk,Does your item live in water?,No.,0,0,0,0,0.9956593799591065,0.9937991142272949,1.0,0.74468994140625,15.731925249099731
skunk,Is your item a land animal?,Yes.,0,0,0,0,0.7234713397026062,0.8192447710037232,0.5,0.8162779808044434,15.665961980819702
skunk,Is your item larger than a person?,No.,0,0,0,0,0.8459440994262696,0.9942058563232422,0.5,0.8008630275726318,17.4880108833313
skunk,Is your item commonly found in forests?,Yes.,0,0,0,0,0.4741830859184265,0.677404408454895,0.0,0.7761650085449219,22.11799383163452
skunk,Does your item have fur?,Yes! That's correct.,0,0,0,0,0.9196331205368041,0.8851901721954345,1.0,1.0926172733306885,20.137218952178955
hippopotamus,Is your item a bird?,No.,0,0,0,0,0.8834731674194336,0.8335330963134766,1.0,0.703563928604126,12.380975723266602
hippopotamus,Is your item a mammal?,Yes.,0,0,0,0,0.20097186566144232,0.2871026652306319,0.0,0.498729944229126,11.50679898262024
hippopotamus,Is your item a large mammal?,Yes.,0,0,0,0,0.4716163263320923,0.4594518947601318,0.5,0.7924473285675049,18.319689989089966
hippopotamus,Is your item a carnivorous mammal?,answerer: No.,0,0,0,0,0.7904399800300599,0.7006285429000856,1.0,0.8444149494171143,13.78513216972351
hippopotamus,Does your item have hooves?,No.,0,0,0,0,0.9966073322296143,0.9951533317565918,1.0,0.7159650325775146,14.642729043960571
hippopotamus,"Does your item have long, sharp tusks?",No.,0,0,0,0,0.7711251115798949,0.9944644451141358,0.25,0.8300507068634033,21.6394202709198
hippopotamus,Is your item known for living in water?,Yes! That's correct. My assigned item is hippopotamus.,0,0,0,0,0.5795504088401794,0.6136434412002563,0.5,0.7959129810333252,21.212958097457886
duck,Is the item you are thinking of a bird?,Yes.,0,0,0,0,0.6322551752496511,0.47465025035664443,1.0,0.7734959125518799,10.936189889907837
duck,Is the item you are thinking of commonly found in water?,Yes.,0,0,0,0,0.8207419387996197,0.7439170554280281,1.0,0.8566379547119141,12.005563259124756
duck,Does the item you are thinking of have long legs?,answerer: No.,0,0,0,0,0.6535964200347663,0.5051377429068089,1.0,0.6030519008636475,16.971814155578613
duck,Does the item you are thinking of have colorful feathers?,answerer: No.,0,0,0,0,0.46461218261718756,0.6637316894531251,0.0,0.7981228828430176,21.416173219680786
duck,Is the item you are thinking of capable of flying?,answerer: No.,0,0,0,0,0.4879749159812927,0.589964165687561,0.25,0.8480870723724365,19.775575160980225
duck,"Based on your responses, is the item you are thinking of a penguin?",No.,0,0,0,0,0.665780818939209,0.9511154556274415,0.0,0.9676451683044434,17.71910810470581
duck,"Based on your responses, is the item you are thinking of a heron?",No.,0,0,0,0,0.6947665357589721,0.9925236225128173,0.0,0.9661030769348145,15.493612051010132
duck,"Based on your responses, is the item you are thinking of a duck?",Yes! That's correct.,0,0,0,0,0.8453081035614013,0.9932972908020019,0.5,0.8851420879364014,17.3021821975708
duck,Is the item a bird?,Yes.,0,0,0,0,0.7428609459521249,0.6326584942173213,1.0,0.7060642242431641,10.831499099731445
duck,Is the item a predator?,No.,0,0,0,0,0.3053342790454626,0.43619182720780375,0.0,0.7554020881652832,12.318384170532227
duck,Does the item have a long neck?,No.,0,0,0,0,0.6441662892103195,0.4916661274433135,1.0,0.7832109928131104,12.891355991363525
duck,Does the item have webbed feet?,Yes! That's correct.,0,0,0,0,0.6398812195062638,0.4855445992946624,1.0,0.8010509014129639,17.789922952651978
pheasant,Is the item you have in mind a bird?,Yes.,0,0,0,0,0.7434937564879656,0.6335625092685222,1.0,1.0221428871154785,12.098859071731567
pheasant,Is the bird you have in mind commonly found in the wild?,Yes.,0,0,0,0,0.9966491222381592,0.9952130317687988,1.0,0.8559989929199219,12.26630973815918
pheasant,Does the bird you have in mind have colorful plumage?,answerer: Yes.,0,0,0,0,0.7422703340649606,0.6318147629499437,1.0,0.8172359466552734,14.503134965896606
pheasant,Does the bird you have in mind have long feathers on its tail?,answerer: No.,0,0,0,0,0.5274065851867199,0.3248665502667427,1.0,0.9055502414703369,15.19227910041809
pheasant,Does the bird you have in mind have a large beak?,answerer: No.,0,0,0,0,0.8562357616424561,0.7946225166320802,1.0,0.8431200981140137,15.880130052566528
