dialogue_id,intra_dialogue_id,target,question,answer,question_confidence,question_observed_consistency,question_self_reflection,answer_confidence,answer_observed_consistency,answer_self_reflection,question_time,answer_time
0,0,fox,Is the item you are thinking of a bird?,No.,,,,,,,897,731
0,1,fox,Is the item you are thinking of a mammal?,Yes.,,,,,,,523,606
0,2,fox,Is the item you are thinking of a large mammal?,No.,,,,,,,728,563
0,3,fox,Is the item you are thinking of a small mammal?,Yes.,,,,,,,745,524
0,4,fox,Is the item you are thinking of commonly kept as a pet?,No.,,,,,,,539,345
0,5,fox,Is the item you are thinking of a rodent?,No.,,,,,,,508,564
0,6,fox,Is the item you are thinking of known for its agility and quick movements?,Yes.,,,,,,,609,418
0,7,fox,Is the item you are thinking of a hamster?,No.,,,,,,,1376,451
0,8,fox,Is the item you are thinking of a fox?,Yes! That's correct.,,,,,,,729,452
1,0,fawn,Is the item you have selected a bird?,No.,,,,,,,686,459
1,1,fawn,Is the item you have selected a mammal?,Yes.,,,,,,,460,335
1,2,fawn,Is the item you have selected a herbivore?,Yes.,,,,,,,665,618
1,3,fawn,Is the item you have selected a deer?,Yes! That's correct.,,,,,,,764,407
2,0,zebra,Is your item a bird?,No.,,,,,,,620,642
2,1,zebra,Is your item a mammal?,Yes.,,,,,,,436,556
2,2,zebra,Is your item a marine mammal?,No.,,,,,,,514,499
2,3,zebra,Is your item a bear?,No.,,,,,,,910,618
2,4,zebra,Is your item an otter?,No.,,,,,,,677,700
2,5,zebra,Is your item a zebra?,Yes! That's correct.,,,,,,,680,559
3,0,rooster,Is the item you have in mind an animal?,Yes.,,,,,,,704,322
3,1,rooster,Is the animal you are thinking of a bird?,Yes.,,,,,,,617,401
3,2,rooster,Is the bird you have in mind a peacock?,No.,,,,,,,648,426
3,3,rooster,Is the bird you have in mind a turkey?,No.,,,,,,,619,599
3,4,rooster,Is the bird you have in mind a budgie?,No.,,,,,,,721,1779
3,5,rooster,Is the bird you have in mind a rooster?,Yes! That's correct.,,,,,,,825,399
4,0,owl,Is the item you are thinking of a bird?,Yes.,,,,,,,876,587
4,1,owl,Is the item you are thinking of an eagle?,No.,,,,,,,781,1831
4,2,owl,Is the item you are thinking of a falcon?,No.,,,,,,,483,644
