dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is your item a bird?,No.,"[{'elk', 'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'fox', 'elk', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}]","{'elk': 0.5, 'fox': 1.4999999999999998, 'hamster': 1.4999999999999998, 'buffalo': 1.4999999999999998}","{'elk': 0.1, 'fox': 0.3, 'hamster': 0.3, 'buffalo': 0.3}"
0,fox,1,Is your item a mammal?,Yes.,"[{'elk', 'fox', 'hamster', 'buffalo'}, {'elk', 'fox', 'hamster', 'buffalo'}, {'elk', 'fox', 'hamster', 'buffalo'}, {'elk', 'fox', 'hamster', 'buffalo'}, {'elk', 'fox', 'hamster', 'buffalo'}]","{'elk': 1.25, 'fox': 1.25, 'hamster': 1.25, 'buffalo': 1.25}","{'elk': 0.25, 'fox': 0.25, 'hamster': 0.25, 'buffalo': 0.25}"
0,fox,2,Is your item typically kept as a pet?,No.,"[{'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}]","{'elk': 1.6666666666666665, 'fox': 1.6666666666666665, 'buffalo': 1.6666666666666665}","{'elk': 0.3333, 'fox': 0.3333, 'buffalo': 0.3333}"
0,fox,3,Is your item larger than a dog?,No.,"[{'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'hamster', 'buffalo'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox', 'buffalo'}]","{'elk': 1.583333333333333, 'fox': 1.583333333333333, 'buffalo': 1.583333333333333, 'hamster': 0.25}","{'elk': 0.3167, 'fox': 0.3167, 'buffalo': 0.3167, 'hamster': 0.05}"
0,fox,4,Is your item commonly found in forests or woodlands?,Yes.,"[{'elk', 'fox'}, {'elk', 'fox'}, {'elk', 'fox', 'buffalo'}, {'elk', 'fox'}, {'elk', 'fox', 'buffalo', 'hamster', 'partridge'}]","{'elk': 2.033333333333333, 'fox': 2.033333333333333, 'buffalo': 0.5333333333333333, 'hamster': 0.2, 'partridge': 0.2}","{'elk': 0.4067, 'fox': 0.4067, 'buffalo': 0.1067, 'hamster': 0.04, 'partridge': 0.04}"
0,fox,5,Is your item a fox?,Yes! That's correct.,"[{'fox'}, {'robin', 'starling', 'chicken', 'partridge', 'elk', 'fox', 'buffalo', 'hamster'}, {'fox'}, {'fox'}, {'fox'}]","{'fox': 4.125, 'robin': 0.125, 'starling': 0.125, 'chicken': 0.125, 'partridge': 0.125, 'elk': 0.125, 'buffalo': 0.125, 'hamster': 0.125}","{'fox': 0.825, 'robin': 0.025, 'starling': 0.025, 'chicken': 0.025, 'partridge': 0.025, 'elk': 0.025, 'buffalo': 0.025, 'hamster': 0.025}"
1,fawn,0,Is the item you have assigned an animal?,Yes.,"[{'pelican', 'sheep', 'deer', 'budgie', 'ostrich', 'penguin', 'zebra', 'fawn'}, {'ostrich', 'pelican', 'penguin', 'sheep', 'deer', 'zebra', 'fawn'}, {'pelican', 'sheep', 'deer', 'budgie', 'ostrich', 'penguin', 'zebra', 'fawn'}, {'pelican', 'sheep', 'deer', 'budgie', 'ostrich', 'penguin', 'zebra', 'fawn'}, {'pelican', 'sheep', 'deer', 'budgie', 'ostrich', 'penguin', 'zebra', 'fawn'}]","{'pelican': 0.6428571428571428, 'sheep': 0.6428571428571428, 'deer': 0.6428571428571428, 'budgie': 0.5, 'ostrich': 0.6428571428571428, 'penguin': 0.6428571428571428, 'zebra': 0.6428571428571428, 'fawn': 0.6428571428571428}","{'pelican': 0.1286, 'sheep': 0.1286, 'deer': 0.1286, 'budgie': 0.1, 'ostrich': 0.1286, 'penguin': 0.1286, 'zebra': 0.1286, 'fawn': 0.1286}"
1,fawn,1,Can the animal you have assigned fly?,No.,"[{'sheep', 'deer', 'fawn'}, {'budgie', 'sheep', 'deer', 'fawn'}, {'sheep', 'deer', 'zebra', 'fawn'}, {'sheep', 'deer', 'fawn'}, {'budgie', 'sheep', 'deer', 'fawn'}]","{'sheep': 1.4166666666666665, 'deer': 1.4166666666666665, 'fawn': 1.4166666666666665, 'budgie': 0.5, 'zebra': 0.25}","{'sheep': 0.2833, 'deer': 0.2833, 'fawn': 0.2833, 'budgie': 0.1, 'zebra': 0.05}"
1,fawn,2,Does the animal you have assigned have hooves?,Yes.,"[{'sheep', 'deer', 'fawn'}, {'sheep', 'deer', 'fawn'}, {'sheep', 'deer'}, {'sheep', 'deer'}, {'sheep', 'deer'}]","{'sheep': 2.1666666666666665, 'deer': 2.1666666666666665, 'fawn': 0.6666666666666666}","{'sheep': 0.4333, 'deer': 0.4333, 'fawn': 0.1333}"
1,fawn,3,Is the animal you have assigned a deer?,Yes! That's correct.,"[{'deer'}, {'sheep', 'deer', 'zebra', 'fawn'}, {'deer'}, {'deer'}, {'sheep', 'deer'}]","{'deer': 3.75, 'sheep': 0.75, 'zebra': 0.25, 'fawn': 0.25}","{'deer': 0.75, 'sheep': 0.15, 'zebra': 0.05, 'fawn': 0.05}"
