dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is your item a bird?,No.,"[{'partridge', 'elk', 'chicken', 'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'elk', 'starling', 'buffalo', 'partridge', 'chicken', 'fox', 'robin', 'hamster'}, {'fox', 'hamster', 'buffalo'}]","{'partridge': 0.29166666666666663, 'elk': 0.29166666666666663, 'chicken': 0.29166666666666663, 'fox': 1.2916666666666665, 'hamster': 1.2916666666666665, 'buffalo': 1.2916666666666665, 'starling': 0.125, 'robin': 0.125}","{'partridge': 0.0583, 'elk': 0.0583, 'chicken': 0.0583, 'fox': 0.2583, 'hamster': 0.2583, 'buffalo': 0.2583, 'starling': 0.025, 'robin': 0.025}"
0,fox,1,Is your item a mammal?,Yes.,"[{'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}, {'elk', 'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}]","{'fox': 1.3333333333333333, 'hamster': 1.6666666666666665, 'buffalo': 1.6666666666666665, 'elk': 0.3333333333333333}","{'fox': 0.2667, 'hamster': 0.3333, 'buffalo': 0.3333, 'elk': 0.0667}"
0,fox,2,Is your item typically kept as a pet?,No.,"[{'fox', 'elk', 'buffalo', 'chicken'}, {'fox', 'hamster', 'buffalo'}, {'fox', 'chicken'}, {'hamster', 'buffalo'}, {'fox', 'hamster', 'buffalo'}]","{'fox': 1.4166666666666665, 'elk': 0.25, 'buffalo': 1.4166666666666665, 'chicken': 0.75, 'hamster': 1.1666666666666665}","{'fox': 0.2833, 'elk': 0.05, 'buffalo': 0.2833, 'chicken': 0.15, 'hamster': 0.2333}"
0,fox,3,Is your item larger than a dog?,No.,"[{'partridge', 'hamster'}, {'partridge', 'elk', 'fox', 'hamster', 'buffalo'}, {'hamster'}, {'partridge', 'fox', 'hamster'}, {'hamster'}]","{'partridge': 1.0333333333333332, 'hamster': 3.033333333333333, 'elk': 0.2, 'fox': 0.5333333333333333, 'buffalo': 0.2}","{'partridge': 0.2067, 'hamster': 0.6067, 'elk': 0.04, 'fox': 0.1067, 'buffalo': 0.04}"
0,fox,4,Is your item commonly found in forests or woodlands?,Yes.,"[{'partridge', 'hamster'}, {'hamster', 'buffalo'}, {'partridge', 'fox', 'hamster'}, {'partridge', 'fox', 'hamster'}, {'partridge', 'fox', 'hamster'}]","{'partridge': 1.4999999999999998, 'hamster': 1.9999999999999998, 'buffalo': 0.5, 'fox': 1.0}","{'partridge': 0.3, 'hamster': 0.4, 'buffalo': 0.1, 'fox': 0.2}"
0,fox,5,Is your item a fox?,Yes! That's correct.,"[set(), set(), {'hamster', 'buffalo'}, {'hamster', 'buffalo'}, {'elk', 'starling', 'buffalo', 'partridge', 'chicken', 'fox', 'robin', 'hamster'}]","{'hamster': 1.125, 'buffalo': 1.125, 'elk': 0.125, 'starling': 0.125, 'partridge': 0.125, 'chicken': 0.125, 'fox': 0.125, 'robin': 0.125}","{'hamster': 0.375, 'buffalo': 0.375, 'elk': 0.0417, 'starling': 0.0417, 'partridge': 0.0417, 'chicken': 0.0417, 'fox': 0.0417, 'robin': 0.0417}"
1,fawn,0,Is the item you have assigned an animal?,Yes.,"[{'pelican', 'penguin', 'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'pelican', 'penguin', 'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'pelican', 'penguin', 'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'pelican', 'penguin', 'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'budgie', 'penguin', 'zebra', 'ostrich', 'pelican', 'fawn', 'deer', 'sheep'}]","{'pelican': 0.6964285714285714, 'penguin': 0.6964285714285714, 'ostrich': 0.6964285714285714, 'fawn': 0.6964285714285714, 'deer': 0.6964285714285714, 'zebra': 0.6964285714285714, 'sheep': 0.6964285714285714, 'budgie': 0.125}","{'pelican': 0.1393, 'penguin': 0.1393, 'ostrich': 0.1393, 'fawn': 0.1393, 'deer': 0.1393, 'zebra': 0.1393, 'sheep': 0.1393, 'budgie': 0.025}"
1,fawn,1,Can the animal you have assigned fly?,No.,"[{'fawn', 'deer', 'zebra', 'sheep'}, {'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}, {'penguin', 'ostrich', 'fawn', 'deer', 'zebra', 'sheep'}]","{'fawn': 1.0166666666666668, 'deer': 1.0166666666666668, 'zebra': 1.0166666666666668, 'sheep': 1.0166666666666668, 'ostrich': 0.7666666666666667, 'penguin': 0.16666666666666666}","{'fawn': 0.2033, 'deer': 0.2033, 'zebra': 0.2033, 'sheep': 0.2033, 'ostrich': 0.1533, 'penguin': 0.0333}"
1,fawn,2,Does the animal you have assigned have hooves?,Yes.,"[{'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'deer', 'sheep'}]","{'fawn': 1.3333333333333333, 'deer': 1.8333333333333333, 'sheep': 1.8333333333333333}","{'fawn': 0.2667, 'deer': 0.3667, 'sheep': 0.3667}"
1,fawn,3,Is the animal you have assigned a deer?,Yes! That's correct.,"[{'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}, {'fawn', 'deer', 'sheep'}]","{'fawn': 1.6666666666666665, 'deer': 1.6666666666666665, 'sheep': 1.6666666666666665}","{'fawn': 0.3333, 'deer': 0.3333, 'sheep': 0.3333}"
2,zebra,0,Is your item a bird?,No.,"[{'walrus', 'otter', 'pelican', 'bear', 'vulture', 'zebra'}, {'otter', 'bear', 'zebra', 'walrus'}, {'otter', 'bear', 'zebra', 'walrus'}, {'otter', 'bear', 'zebra', 'walrus'}, {'otter', 'bear', 'vulture', 'chickadee', 'zebra', 'pelican', 'walrus', 'finch'}]","{'walrus': 1.0416666666666665, 'otter': 1.0416666666666665, 'pelican': 0.29166666666666663, 'bear': 1.0416666666666665, 'vulture': 0.29166666666666663, 'zebra': 1.0416666666666665, 'chickadee': 0.125, 'finch': 0.125}","{'walrus': 0.2083, 'otter': 0.2083, 'pelican': 0.0583, 'bear': 0.2083, 'vulture': 0.0583, 'zebra': 0.2083, 'chickadee': 0.025, 'finch': 0.025}"
