dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is your item a bird?,No.,"[{'buffalo', 'hamster', 'chicken', 'elk', 'fox'}, {'buffalo', 'hamster', 'chicken', 'elk', 'fox'}, {'buffalo', 'hamster', 'chicken', 'elk', 'fox'}, {'buffalo', 'hamster', 'chicken', 'elk', 'fox'}, {'buffalo', 'hamster', 'chicken', 'elk', 'fox'}]","{'buffalo': 1.0, 'hamster': 1.0, 'chicken': 1.0, 'elk': 1.0, 'fox': 1.0}","{'buffalo': 0.2, 'hamster': 0.2, 'chicken': 0.2, 'elk': 0.2, 'fox': 0.2}"
0,fox,1,Is your item a mammal?,Yes.,"[{'hamster', 'elk', 'fox', 'buffalo'}, {'hamster', 'elk', 'fox'}, {'hamster', 'elk', 'fox'}, {'hamster', 'elk', 'fox', 'buffalo'}, {'hamster', 'elk', 'fox', 'buffalo'}]","{'hamster': 1.4166666666666665, 'elk': 1.4166666666666665, 'fox': 1.4166666666666665, 'buffalo': 0.75}","{'hamster': 0.2833, 'elk': 0.2833, 'fox': 0.2833, 'buffalo': 0.15}"
0,fox,2,Is your item typically kept as a pet?,No.,"[{'buffalo', 'elk', 'fox'}, {'buffalo', 'elk', 'fox'}, {'buffalo', 'elk', 'fox'}, {'buffalo', 'elk', 'fox'}, {'buffalo', 'elk', 'fox'}]","{'buffalo': 1.6666666666666665, 'elk': 1.6666666666666665, 'fox': 1.6666666666666665}","{'buffalo': 0.3333, 'elk': 0.3333, 'fox': 0.3333}"
0,fox,3,Is your item larger than a dog?,No.,"[{'elk', 'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}, {'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}, {'fox'}]","{'elk': 0.8999999999999999, 'fox': 2.9, 'buffalo': 0.4, 'hamster': 0.4, 'chicken': 0.4}","{'elk': 0.18, 'fox': 0.58, 'buffalo': 0.08, 'hamster': 0.08, 'chicken': 0.08}"
0,fox,4,Is your item commonly found in forests or woodlands?,Yes.,"[{'elk', 'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}, {'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}, {'fox'}]","{'elk': 0.8999999999999999, 'fox': 2.9, 'buffalo': 0.4, 'hamster': 0.4, 'chicken': 0.4}","{'elk': 0.18, 'fox': 0.58, 'buffalo': 0.08, 'hamster': 0.08, 'chicken': 0.08}"
0,fox,5,Is your item a fox?,Yes! That's correct.,"[{'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}, {'fox'}, {'fox'}, {'fox', 'buffalo', 'hamster', 'chicken', 'elk'}]","{'fox': 3.4000000000000004, 'buffalo': 0.4, 'hamster': 0.4, 'chicken': 0.4, 'elk': 0.4}","{'fox': 0.68, 'buffalo': 0.08, 'hamster': 0.08, 'chicken': 0.08, 'elk': 0.08}"
1,fawn,0,Is the item you have assigned an animal?,Yes.,"[{'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}]","{'deer': 0.625, 'penguin': 0.625, 'pelican': 0.625, 'fawn': 0.625, 'sheep': 0.625, 'budgie': 0.625, 'ostrich': 0.625, 'zebra': 0.625}","{'deer': 0.125, 'penguin': 0.125, 'pelican': 0.125, 'fawn': 0.125, 'sheep': 0.125, 'budgie': 0.125, 'ostrich': 0.125, 'zebra': 0.125}"
1,fawn,1,Can the animal you have assigned fly?,No.,"[{'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'ostrich', 'zebra', 'fawn', 'sheep'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'ostrich', 'zebra', 'fawn', 'sheep'}]","{'deer': 0.7749999999999999, 'penguin': 0.375, 'pelican': 0.375, 'fawn': 0.7749999999999999, 'sheep': 0.7749999999999999, 'budgie': 0.375, 'ostrich': 0.7749999999999999, 'zebra': 0.7749999999999999}","{'deer': 0.155, 'penguin': 0.075, 'pelican': 0.075, 'fawn': 0.155, 'sheep': 0.155, 'budgie': 0.075, 'ostrich': 0.155, 'zebra': 0.155}"
1,fawn,2,Does the animal you have assigned have hooves?,Yes.,"[{'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}]","{'deer': 0.625, 'penguin': 0.625, 'pelican': 0.625, 'fawn': 0.625, 'sheep': 0.625, 'budgie': 0.625, 'ostrich': 0.625, 'zebra': 0.625}","{'deer': 0.125, 'penguin': 0.125, 'pelican': 0.125, 'fawn': 0.125, 'sheep': 0.125, 'budgie': 0.125, 'ostrich': 0.125, 'zebra': 0.125}"
1,fawn,3,Is the animal you have assigned a deer?,Yes! That's correct.,"[{'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}, {'deer', 'penguin', 'pelican', 'fawn', 'sheep', 'budgie', 'ostrich', 'zebra'}]","{'deer': 0.625, 'penguin': 0.625, 'pelican': 0.625, 'fawn': 0.625, 'sheep': 0.625, 'budgie': 0.625, 'ostrich': 0.625, 'zebra': 0.625}","{'deer': 0.125, 'penguin': 0.125, 'pelican': 0.125, 'fawn': 0.125, 'sheep': 0.125, 'budgie': 0.125, 'ostrich': 0.125, 'zebra': 0.125}"
2,zebra,0,Is your item a bird?,No.,"[{'otter', 'zebra', 'bear', 'walrus'}, {'otter', 'zebra', 'bear', 'walrus'}, {'otter', 'zebra', 'bear', 'walrus'}, {'otter', 'zebra', 'bear', 'walrus'}, {'otter', 'zebra', 'bear', 'walrus'}]","{'otter': 1.25, 'zebra': 1.25, 'bear': 1.25, 'walrus': 1.25}","{'otter': 0.25, 'zebra': 0.25, 'bear': 0.25, 'walrus': 0.25}"
2,zebra,1,Is your item a mammal?,Yes.,"[{'otter', 'zebra', 'bear'}, {'otter', 'zebra', 'bear'}, {'otter', 'zebra', 'bear'}, {'otter', 'zebra', 'bear'}, {'otter', 'zebra', 'bear'}]","{'otter': 1.6666666666666665, 'zebra': 1.6666666666666665, 'bear': 1.6666666666666665}","{'otter': 0.3333, 'zebra': 0.3333, 'bear': 0.3333}"
