dialogue_id,intra_dialogue_id,target,question,answer,candidates,probability,explanation
0,fox,0,Is your item a bird?,No.,"['elk', 'chicken', 'fox', 'hamster', 'buffalo']",0.2
0,fox,1,Is your item a mammal?,Yes.,"['hamster', 'buffalo']",0.5
0,fox,2,Is your item typically kept as a pet?,No.,['buffalo'],1.0
0,fox,3,Is your item larger than a dog?,No.,['None'],1.0
0,fox,4,Is your item commonly found in forests or woodlands?,Yes.,['None'],1.0
0,fox,5,Is your item a fox?,Yes! That's correct.,['None.'],1.0
1,fawn,0,Is the item you have assigned an animal?,Yes.,"['budgie', 'zebra', 'deer', 'penguin', 'pelican', 'sheep', 'fawn', 'ostrich']",0.125
1,fawn,1,Can the animal you have assigned fly?,No.,"['zebra', 'deer', 'sheep', 'fawn', 'ostrich']",0.2
1,fawn,2,Does the animal you have assigned have hooves?,Yes.,"['zebra', 'deer', 'sheep', 'fawn', 'ostrich\nEXPLANATION: Ostrich can fly', 'so it is eliminated; ']",0.16666666666666666
1,fawn,3,Is the animal you have assigned a deer?,Yes! That's correct.,['deer'],1.0
2,zebra,0,Is your item a bird?,No.,"['bear', 'zebra', 'walrus', 'otter']",0.25
2,zebra,1,Is your item a mammal?,Yes.,"['bear', 'zebra', 'walrus', 'otter']",0.25
2,zebra,2,Is your item a marine mammal?,No.,"['bear', 'zebra']",0.5
2,zebra,3,Is your item a land mammal?,Yes.,"['bear', 'zebra']",0.5
2,zebra,4,Is your item a carnivore?,Yes.,['bear'],1.0
2,zebra,5,Is your item a large carnivore?,Yes.,['bear'],1.0
2,zebra,6,Is your item a bear?,No.,[],0
2,zebra,7,Is your item a walrus?,No.,"['Lion', 'Tiger', 'Wolf', 'Leopard']",0.25
2,zebra,8,Is your item an otter?,No.,"['Lion', 'Tiger', 'Wolf', 'Leopard']",0.25
2,zebra,9,Is your item a vulture?,No.,"['Lion', 'Tiger', 'Wolf', 'Leopard']",0.25
2,zebra,10,Is your item a zebra?,Yes! That's correct.,"['Lion', 'Tiger', 'Wolf', 'Leopard']",0.25
3,rooster,0,Is the item you are thinking of a bird?,Yes.,"['peacock', 'budgie', 'turkey', 'rooster']",0.25
3,rooster,1,Is the item you are thinking of a peacock?,No.,"['budgie', 'turkey', 'rooster']",0.3333333333333333
3,rooster,2,Is the item you are thinking of a budgie?,No.,"['turkey', 'rooster']",0.5
3,rooster,3,Is the item you are thinking of a rooster?,Yes! That's correct.,"['turkey', 'rooster\nEXPLANATION: A peacock is not a candidate; ']",0.5
4,owl,0,Is the item you have a bird?,Yes.,"['falcon', 'eagle', 'owl', 'pigeon']",0.25
4,owl,1,Is the item you have a bird of prey?,Yes.,"['falcon', 'eagle', 'owl']",0.3333333333333333
4,owl,2,Is the item you have an eagle?,No.,"['falcon', 'owl']",0.5
4,owl,3,Is the item you have a falcon?,No.,"['falcon', 'owl\nEXPLANATION: Both falcon and owl are birds of prey; ']",0.5
4,owl,4,Is the item you have an owl?,Yes! That's correct.,['owl'],1.0
5,falcon,0,Is your item a bird?,Yes.,"['falcon', 'peacock', 'owl', 'parakeet']",0.25
5,falcon,1,Is your item a parakeet?,No.,"['falcon', 'peacock', 'owl']",0.3333333333333333
5,falcon,2,Is your item an owl?,No.,"['falcon', 'peacock']",0.5
5,falcon,3,Is your item a falcon?,Yes! That's correct.,['falcon'],1.0
6,hamster,0,Is the item you have an animal?,Yes.,"['chipmunk', 'bear', 'hamster', 'zebra']",0.25
6,hamster,1,Does the animal you have belong to the rodent family?,Yes.,"['chipmunk', 'hamster']",0.5
6,hamster,2,Is the animal you have commonly found in the wild?,No.,"['chipmunk', 'hamster\nEXPLANATION: Both chipmunk and hamster belong to the rodent family; ']",0.5
6,hamster,3,Is the animal you have commonly kept as a pet?,Yes.,['hamster'],1.0
6,hamster,4,Is the animal you have small in size?,Yes.,['hamster'],1.0
6,hamster,5,Is the animal you have known for its ability to climb trees?,No.,['hamster'],1.0
6,hamster,6,Is the animal you have known for its cheek pouches?,Yes.,['hamster'],1.0
6,hamster,7,The item you have is a chipmunk.,"No, that's not correct.",['hamster'],1.0
6,hamster,8,I apologize for the mistake. Let me try again. Is the animal you have known for its ability to swim?,No.,['hamster'],1.0
6,hamster,9,I apologize again for the mistake. Let me try one more time. Is the animal you have small and fluffy?,Yes.,['hamster'],1.0
6,hamster,10,The item you have is a hamster.,Yes! That's correct. Well done!,['hamster'],1.0
7,dolphin,0,Is the item something that is worn?,No.,"['dolphin', 'cougar', 'beaver', 'ox']",0.25
7,dolphin,1,Is the item a living creature?,Yes.,"['dolphin', 'cougar', 'beaver', 'ox']",0.25
7,dolphin,2,Does the creature live in water?,Yes.,"['dolphin', 'beaver']",0.5
7,dolphin,3,Is the creature a mammal?,Yes.,"['dolphin', 'beaver']",0.5
7,dolphin,4,Is the creature known for its intelligence?,Yes.,['dolphin'],1.0
7,dolphin,5,Is the creature commonly found in oceans or seas?,Yes.,['dolphin'],1.0
7,dolphin,6,"Is the creature typically larger in size, like a shark or a whale?",Yes.,['dolphin'],1.0
7,dolphin,7,Is the creature a dolphin?,Yes! That's correct.,['dolphin'],1.0
8,deer,0,Is your item an animal?,Yes.,"['fawn', 'deer', 'gorilla', 'elephant']",0.25
8,deer,1,Is your item a mammal?,Yes.,"['fawn', 'deer', 'gorilla', 'elephant']",0.25
8,deer,2,Is your item a herbivore?,Yes.,"['fawn', 'deer', 'elephant']",0.3333333333333333
8,deer,3,Is your item a fawn?,No.,"['deer', 'elephant']",0.5
8,deer,4,Is your item a deer?,Yes! That's correct.,['deer'],1.0
9,boots,0,Is the item an animal?,No.,"['boots', 'cape', 'swimsuit', 'trousers']",0.25
9,boots,1,Is the item a clothing accessory?,Yes.,"['boots', 'cape', 'swimsuit']",0.3333333333333333
9,boots,2,Is the item worn on the lower body?,Yes.,"['boots', 'swimsuit']",0.5
9,boots,3,Is the item typically worn on the legs?,Yes.,['boots'],1.0
9,boots,4,Is the item typically made of fabric?,Yes.,['boots'],1.0
9,boots,5,Is the item typically worn by males and females?,Yes.,['boots'],1.0
9,boots,6,Is the item typically worn in warm weather?,No.,['boots'],1.0
9,boots,7,Is the item typically worn as a protective covering?,Yes.,['boots'],1.0
9,boots,8,Is the item typically worn outdoors?,Yes.,['boots'],1.0
9,boots,9,Is the item typically worn to protect against rain or snow?,Yes.,['boots'],1.0
9,boots,10,Is the item a cape?,No.,['boots'],1.0
9,boots,11,Is the item a pair of trousers?,No.,['boots'],1.0
9,boots,12,Is the item a pair of boots?,Yes! That's correct.,['boots'],1.0
10,tie,0,Is the item you have an animal?,No.,"['belt', 'tie', 'scarf', 'blouse']",0.25
10,tie,1,Is the item you have an accessory?,Yes.,"['belt', 'tie', 'scarf', 'blouse\n\nEXPLANATION: The item is an accessory', 'so we eliminate any candidates that are not accessories. A blouse is not typically considered an accessory', 'so we eliminate it. The remaining candidates are belt', 'tie', 'and scarf; ']",0.125
10,tie,2,Is the item you have worn around the neck?,Yes.,"['tie', 'scarf']",0.5
10,tie,3,Is the item you have typically made of fabric?,Yes.,"['tie', 'scarf']",0.5
10,tie,4,Is the item you have typically long and narrow in shape?,Yes.,"['tie', 'scarf']",0.5
10,tie,5,Is the item you have typically worn for warmth?,Yes.,['scarf'],1.0
10,tie,6,Is the item you have worn mainly during colder seasons?,Yes.,['scarf'],1.0
10,tie,7,Is the item you have typically made of wool?,Yes.,['scarf'],1.0
10,tie,8,Is the item you have commonly used to cover the neck and shoulders?,Yes.,['scarf'],1.0
10,tie,9,Is the item you have typically patterned or plain in design?,It can be both patterned and plain.,['scarf'],1.0
10,tie,10,Is the item you have commonly worn by both men and women?,Yes.,['scarf'],1.0
10,tie,11,Is the item you have commonly seen in various colors?,Yes.,['scarf'],1.0
10,tie,12,Is the item you have a scarf?,No.,['None'],1.0
10,tie,13,"My apologies for the misunderstanding. Based on the given information, the item you have is a tie.",Yes! That's correct. Well done! The item assigned to me is indeed a tie.,['None.'],1.0
11,belt,0,Is the item an animal?,No.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,1,Is the item a piece of clothing?,Yes.,"['belt', 'pajamas', 'tie', 'blouse']",0.25
11,belt,2,Is the item typically worn on the upper body?,No.,"['belt', 'pajamas']",0.5
11,belt,3,Is the item typically worn on the lower body?,Yes.,['pajamas'],1.0
11,belt,4,Is the item typically worn by men?,No.,['pajamas'],1.0
11,belt,5,Is the item typically worn by women?,Yes.,['pajamas'],1.0
11,belt,6,Is the item typically worn as sleepwear?,No.,['None.'],1.0
11,belt,7,Is the item typically worn as formal attire?,No.,"['None.\nEXPLANATION: The item is a piece of clothing', 'so we exclude all non-clothing items; ']",0.5
11,belt,8,Is the item typically worn as casual attire?,Yes.,['None.'],1.0
11,belt,9,Is the item a belt?,Yes! That's correct.,"['None.\nEXPLANATION: The item is a piece of clothing', 'so we exclude all non-clothing items; ']",0.5
12,seal,0,Is your item a living organism?,Yes.,"['seal', 'hamster', 'chipmunk', 'deer']",0.25
12,seal,1,Is your item a mammal?,Yes.,"['seal', 'hamster', 'chipmunk', 'deer']",0.25
12,seal,2,Is your item a domesticated animal?,No.,"['seal', 'chipmunk', 'deer']",0.3333333333333333
12,seal,3,Is your item a small animal?,No.,['deer'],1.0
12,seal,4,Does your item have antlers?,No.,['deer'],1.0
12,seal,5,Is your item a seal?,Yes! That's correct.,['None'],1.0
13,bear,0,Is the item you have in mind an animal?,Yes.,"['goat', 'bear', 'squirrel', 'zebra']",0.25
13,bear,1,Does the animal you have in mind have stripes?,No.,"['goat', 'bear', 'squirrel']",0.3333333333333333
13,bear,2,Is the animal you have in mind a mammal?,Yes.,"['goat', 'bear', 'squirrel']",0.3333333333333333
13,bear,3,Is the mammal you have in mind commonly found in the wild?,Yes.,"['goat', 'bear', 'squirrel']",0.3333333333333333
13,bear,4,Is the mammal you have in mind larger than a human?,Yes.,"['goat', 'bear', 'squirrel\nEXPLANATION: None of the candidates (goat', 'bear', 'squirrel) have stripes', 'so they all satisfy the second question.;']",0.16666666666666666
13,bear,5,Is the mammal you have in mind a herbivore?,No.,"['goat', 'bear', 'squirrel\nEXPLANATION: None of the candidates (goat', 'bear', 'squirrel) have stripes', 'so they all satisfy the second question.;']",0.16666666666666666
13,bear,6,Is the mammal you have in mind a predator?,Yes.,"['goat', 'bear', 'squirrel\nEXPLANATION: None of the candidates (goat', 'bear', 'squirrel) have stripes', 'so they all satisfy the second question.;']",0.16666666666666666
13,bear,7,Is the mammal you have in mind known for its agility and climbing skills?,No.,['bear'],1.0
13,bear,8,Is the mammal you have in mind known for its strength and power?,Yes.,['bear'],1.0
13,bear,9,Is the mammal you have in mind a bear?,Yes! That's correct.,['bear'],1.0
14,seal,0,Is the item you have in mind an animal?,Yes.,"['goat', 'seal', 'walrus', 'cougar']",0.25
14,seal,1,Does the animal you have in mind live in the water?,Yes.,"['seal', 'walrus']",0.5
14,seal,2,Is the animal you have in mind a marine mammal?,Yes.,"['seal', 'walrus\nEXPLANATION: Both seal and walrus live in the water; ']",0.5
14,seal,3,Is the animal you have in mind a walrus?,No.,['seal'],1.0
14,seal,4,Is the animal you have in mind a seal?,Yes! That's correct.,['seal'],1.0
15,missile,0,Is the item alive?,No.,"['missile', 'stick', 'shotgun', 'bomb']",0.25
15,missile,1,Does the item explode?,Yes.,"['missile', 'bomb']",0.5
15,missile,2,Is the item smaller than a breadbox?,No.,['missile'],1.0
15,missile,3,Is the item used as a weapon?,Yes.,['missile'],1.0
15,missile,4,Is the item typically used by the military?,Yes.,['missile'],1.0
15,missile,5,Is the item a missile?,Yes! That's correct.,['missile'],1.0
16,spear,0,Is the item an animal?,No.,"['spear', 'pistol', 'dagger', 'shotgun']",0.25
16,spear,1,Is the item a weapon?,Yes.,"['spear', 'pistol', 'dagger', 'shotgun']",0.25
16,spear,2,Is the item handheld?,Yes.,"['spear', 'pistol', 'dagger']",0.3333333333333333
16,spear,3,Is the item commonly used in close combat?,Yes.,"['spear', 'dagger']",0.5
16,spear,4,Is the item a dagger?,No.,['spear'],1.0
16,spear,5,Is the item a sword?,No.,['spear'],1.0
16,spear,6,Is the item a spear?,Yes! That's correct.,['spear'],1.0
17,stick,0,Is the item alive?,No.,"['harpoon', 'stick', 'whip', 'seal', 'knife']",0.2
17,stick,1,Is the item used for hunting?,Yes.,"['harpoon', 'whip', 'knife']",0.3333333333333333
17,stick,2,Is the item made of wood?,Yes.,['None'],1.0
17,stick,3,Is the item long and narrow?,Yes.,['None.'],1.0
17,stick,4,Is the item a harpoon?,No.,['None.'],1.0
17,stick,5,Is the item a whip?,No.,['None'],1.0
17,stick,6,Is the item a stick?,Yes! That's correct.,['None.'],1.0
18,caribou,0,Is the item an animal?,Yes.,"['hamster', 'porcupine', 'elephant', 'caribou']",0.25
18,caribou,1,Is the item a mammal?,Yes.,"['hamster', 'porcupine', 'elephant', 'caribou']",0.25
18,caribou,2,Is the item smaller than a human?,No.,"['elephant', 'caribou']",0.5
18,caribou,3,Is the item typically found in the wild?,Yes.,['elephant'],1.0
18,caribou,4,Is the item larger than a car?,Yes.,['elephant'],1.0
18,caribou,5,Is the item a herbivore?,Yes.,['elephant'],1.0
18,caribou,6,Is the item an elephant?,No.,[],0
18,caribou,7,Is the item a caribou?,Yes! That's correct.,"['Blue Whale', 'Elephant', 'Caribou', 'Giraffe', 'Lion', 'Tiger', 'Bear', 'Hippopotamus', 'Rhinoceros\n\n-Is the item a mammal? Yes.\n  EXPLANATION: All candidates are mammals.\n  ']",0.1111111111111111
19,zebra,0,Is the item you have chosen an animal?,Yes.,"['whale', 'sheep', 'zebra', 'otter']",0.25
19,zebra,1,Does the animal you have chosen live in the water?,No.,"['sheep', 'zebra']",0.5
19,zebra,2,Is the animal you have chosen a mammal?,Yes.,"['sheep', 'zebra']",0.5
19,zebra,3,Is the mammal you have chosen a herbivore?,No.,['None'],1.0
19,zebra,4,Is the mammal you have chosen a large land-dwelling animal?,Yes.,['None.\nEXPLANATION: The animal must not live in the water; '],1.0
19,zebra,5,Is the mammal you have chosen a member of the horse family?,No.,['None.\nEXPLANATION: The animal must be a mammal; '],1.0
19,zebra,6,Is the mammal you have chosen known for having distinctive black and white stripes?,Yes! That's correct.,['zebra'],1.0
20,cow,0,Is the item you have an animal?,Yes.,"['beaver', 'deer', 'seal', 'cow']",0.25
20,cow,1,Does the animal you have live in water?,No.,"['deer', 'cow']",0.5
20,cow,2,Is the animal you have commonly found in forests?,No.,['cow'],1.0
20,cow,3,Is the animal you have typically found on farms?,Yes.,['cow'],1.0
20,cow,4,Is the animal you have larger than a human?,Yes.,['cow'],1.0
20,cow,5,Does the animal you have four legs?,Yes.,['cow'],1.0
20,cow,6,Is the animal you have typically used for milk or meat production?,Yes.,['cow'],1.0
20,cow,7,Is the animal you have a cow?,Yes! That's correct.,['cow'],1.0
21,avocado,0,Is the item you have in mind an animal?,No.,"['avocado', 'strawberry', 'pineapple', 'tangerine']",0.25
21,avocado,1,Is the item you have in mind a fruit?,Yes.,"['avocado', 'strawberry', 'pineapple', 'tangerine']",0.25
21,avocado,2,Is the item you have in mind a citrus fruit?,No.,"['avocado', 'strawberry', 'pineapple']",0.3333333333333333
21,avocado,3,Is the item you have in mind a tropical fruit?,Yes.,"['avocado', 'pineapple']",0.5
21,avocado,4,Is the item you have in mind a pineapple?,No.,['None'],1.0
21,avocado,5,Is the item you have in mind a tangerine?,No.,"['None.\nEXPLANATION: The item is a fruit', 'so we include only fruits; ']",0.5
21,avocado,6,Is the item you have in mind an avocado?,Yes! That's correct.,"['Avocado', 'Banana', 'Mango', 'Papaya', 'Pineapple', 'Tangerine.\n\nCandidates: Avocado', 'Banana', 'Mango', 'Papaya', 'Pineapple', 'Tangerine.\nEXPLANATION: The item is a fruit', 'so we include only fruits; ']",0.08333333333333333
22,cherry,0,Is the item you have an animal?,No.,"['apple', 'pear', 'cherry', 'grapefruit']",0.25
22,cherry,1,Is the item you have a fruit?,Yes.,"['apple', 'pear', 'cherry', 'grapefruit']",0.25
22,cherry,2,Is the item you have a citrus fruit?,No.,"['apple', 'pear', 'cherry']",0.3333333333333333
22,cherry,3,Is the item you have a small fruit?,Yes.,['cherry'],1.0
22,cherry,4,Is the item you have red in color?,Yes.,['cherry'],1.0
22,cherry,5,Is the item you have round in shape?,Yes.,['cherry'],1.0
22,cherry,6,Is the item you have a cherry?,Yes! That's correct.,['cherry'],1.0
23,tomato,0,Is the item you have an animal?,No.,"['tomato', 'rhubarb', 'tangerine', 'cranberry']",0.25
23,tomato,1,Is the item you have a fruit or vegetable?,Yes.,"['tomato', 'rhubarb', 'tangerine', 'cranberry']",0.25
23,tomato,2,Is the item you have a citrus fruit?,No.,"['tomato', 'rhubarb', 'cranberry']",0.3333333333333333
23,tomato,3,Is the item you have red in color?,Yes.,"['tomato', 'cranberry']",0.5
23,tomato,4,Is the item you have commonly used in cooking or recipes?,Yes.,"['tomato', 'cranberry']",0.5
23,tomato,5,Is the item you have known for its tart taste?,No.,['tomato'],1.0
23,tomato,6,Is the item you have often eaten raw?,Yes.,['tomato'],1.0
23,tomato,7,Is the item you have commonly used in salads?,Yes.,['tomato'],1.0
23,tomato,8,Is the item you have small and spherical in shape?,Yes.,['tomato'],1.0
23,tomato,9,Is the item you have a cranberry?,No.,['tomato'],1.0
23,tomato,10,Is the item you have a tomato?,Yes! That's correct.,['tomato'],1.0
24,mink,0,Is the item you have an animal?,Yes.,"['mink', 'cow', 'whale', 'squirrel']",0.25
24,mink,1,Is the item you have a mammal?,Yes.,"['mink', 'cow', 'whale', 'squirrel']",0.25
24,mink,2,Is the item you have a land mammal?,Yes.,"['mink', 'cow', 'squirrel']",0.3333333333333333
24,mink,3,Is the item you have a herbivore?,No.,"['mink', 'cow', 'squirrel\nEXPLANATION: All candidates (mink', 'cow', 'squirrel) are mammals; ']",0.2
24,mink,4,Is the item you have a carnivorous land mammal?,Yes.,['mink'],1.0
24,mink,5,Is the item you have a mammal that is typically found in the ocean?,No.,['mink'],1.0
24,mink,6,Is the item you have a large carnivorous land mammal?,No.,['mink'],1.0
24,mink,7,Is the item you have a small carnivorous land mammal?,Yes.,['mink'],1.0
24,mink,8,Is the item you have a member of the weasel family?,Yes.,['mink'],1.0
24,mink,9,Is the item you have a mink?,Yes! That's correct.,['mink'],1.0
25,gorilla,0,Is the item you have in mind an animal?,Yes.,"['walrus', 'gorilla', 'sheep', 'dolphin']",0.25
25,gorilla,1,Is the animal you are thinking of a mammal?,Yes.,"['walrus', 'gorilla', 'sheep', 'dolphin']",0.25
25,gorilla,2,Is the mammal you are thinking of a land-dwelling animal?,Yes.,"['walrus', 'gorilla', 'sheep', 'dolphin\nEXPLANATION: Among the candidates', 'walrus', 'gorilla', 'sheep', 'and dolphin are mammals; ']",0.125
25,gorilla,3,Is the animal you are thinking of a herbivore?,No.,['gorilla'],1.0
25,gorilla,4,Is the mammal you are thinking of a large animal?,Yes.,['gorilla'],1.0
25,gorilla,5,Is the mammal you are thinking of known for its intelligence?,Yes.,['gorilla'],1.0
25,gorilla,6,Is the mammal you are thinking of typically found in the water?,No.,['gorilla'],1.0
25,gorilla,7,Is the mammal you are thinking of often associated with jungles or forests?,Yes.,['gorilla'],1.0
25,gorilla,8,Is the mammal you are thinking of a gorilla?,Yes! That's correct.,['gorilla'],1.0
26,elk,0,Is your item an animal?,Yes.,"['otter', 'seal', 'elk', 'lion']",0.25
26,elk,1,Is your animal aquatic?,No.,"['elk', 'lion']",0.5
26,elk,2,Is your animal a mammal?,Yes.,"['elk', 'lion']",0.5
26,elk,3,Is your animal a herbivore?,Yes.,['elk'],1.0
26,elk,4,Is your animal larger than a dog?,Yes.,['elk'],1.0
26,elk,5,Is your animal found in Africa?,No.,['elk'],1.0
26,elk,6,Is your animal larger than a horse?,Yes.,['elk'],1.0
26,elk,7,Is your animal a herbivorous mammal larger than a horse that is found in North America?,Yes! That's correct.,['elk'],1.0
27,pumpkin,0,Is the item you have an animal?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,1,Is the item you have a plant?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,2,Is the item you have a fruit or vegetable?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,3,Is the item you have a fruit?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,4,Is the item you have a vegetable?,Yes.,"['pumpkin', 'mushroom', 'cauliflower', 'peas']",0.25
27,pumpkin,5,Is the item you have a leafy green vegetable?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\n\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,6,Is the item you have a root vegetable?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,7,"Is the item you have a vegetable from the brassica family? (such as broccoli, cabbage, or kale)",No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,8,Is the item you have a legume vegetable? (such as peas or beans),No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,9,Is the item you have a mushroom?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,10,Is the item you have a cauliflower?,No.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
27,pumpkin,11,Is the item you have a pumpkin?,Yes! That's correct.,"['pumpkin', 'mushroom', 'cauliflower', 'peas\nEXPLANATION: The item is a plant', 'so we keep all candidates; ']",0.2
28,beans,0,Is the item you are thinking of a food item?,Yes.,"['radish', 'beans', 'potato', 'pig', 'beets', 'deer']",0.16666666666666666
28,beans,1,Is the item you are thinking of a plant-based food item?,Yes.,"['radish', 'beans', 'potato', 'beets']",0.25
28,beans,2,Is the item you are thinking of a root vegetable?,No.,['beans'],1.0
28,beans,3,Is the item you are thinking of a leafy vegetable?,No.,['beans'],1.0
28,beans,4,"Is the item you are thinking of a legume? (e.g., beans, peas, lentils)",Yes! That's correct.,['beans'],1.0
29,potato,0,Is the item a vegetable?,Yes.,"['eggplant', 'onions', 'pumpkin', 'potato']",0.25
29,potato,1,Is the item a root vegetable?,Yes.,"['onions', 'potato']",0.5
29,potato,2,Is the item a potato?,Yes! That's correct.,['potato'],1.0
30,penguin,0,Is the item an article of clothing?,No.,"['buzzard', 'bluejay', 'vulture', 'penguin']",0.25
30,penguin,1,Is the item a bird?,Yes.,"['buzzard', 'bluejay', 'vulture', 'penguin']",0.25
30,penguin,2,Does the item have a black and white coloration?,Yes.,['penguin'],1.0
30,penguin,3,Is the item a penguin?,Yes! That's correct.,['penguin'],1.0
31,stork,0,Is the item you have in mind a bird?,Yes.,"['eagle', 'parakeet', 'woodpecker', 'stork']",0.25
31,stork,1,Is the item you have in mind a bird of prey?,No.,"['parakeet', 'woodpecker', 'stork']",0.3333333333333333
31,stork,2,Is the item you have in mind a parakeet?,No.,"['woodpecker', 'stork']",0.5
31,stork,3,Is the item you have in mind a woodpecker?,No.,['stork'],1.0
31,stork,4,Is the item you have in mind a stork?,Yes! That's correct.,['stork'],1.0
32,hawk,0,Is your item a bird?,Yes.,"['hawk', 'peacock', 'falcon', 'budgie']",0.25
32,hawk,1,Does your item have colorful and flamboyant feathers?,No.,"['hawk', 'falcon']",0.5
32,hawk,2,Is your item a bird of prey?,Yes.,"['hawk', 'falcon']",0.5
32,hawk,3,Does your item have a hooked beak?,Yes.,"['hawk', 'falcon']",0.5
32,hawk,4,Is your item a falcon?,No.,['hawk'],1.0
32,hawk,5,Is your item a hawk?,Yes! That's correct.,['hawk\nEXPLANATION: The item must not have colorful and flamboyant feathers; '],1.0
33,bra,0,Is the item you have a bird?,No.,"['skirt', 'leotards', 'bra', 'boots']",0.25
33,bra,1,Is the item you have an article of clothing?,Yes.,"['skirt', 'leotards', 'bra', 'boots']",0.25
