dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is the item you are thinking of a bird?,No.,"[{'elk', 'buffalo', 'starling', 'chicken', 'robin', 'fox', 'partridge', 'hamster'}, {'elk', 'buffalo', 'starling', 'chicken', 'robin', 'fox', 'partridge', 'hamster'}, {'elk', 'buffalo', 'starling', 'chicken', 'robin', 'fox', 'partridge', 'hamster'}, {'buffalo', 'hamster', 'fox'}, {'buffalo', 'hamster', 'fox'}]","{'elk': 0.375, 'buffalo': 1.0416666666666665, 'starling': 0.375, 'chicken': 0.375, 'robin': 0.375, 'fox': 1.0416666666666665, 'partridge': 0.375, 'hamster': 1.0416666666666665}","{'elk': 0.075, 'buffalo': 0.2083, 'starling': 0.075, 'chicken': 0.075, 'robin': 0.075, 'fox': 0.2083, 'partridge': 0.075, 'hamster': 0.2083}"
0,fox,1,Is the item you are thinking of a mammal?,Yes.,"[{'buffalo', 'hamster', 'fox'}, {'buffalo', 'hamster', 'fox'}, {'buffalo', 'hamster'}, {'buffalo', 'hamster'}, {'buffalo', 'hamster', 'fox'}]","{'buffalo': 1.9999999999999998, 'hamster': 1.9999999999999998, 'fox': 1.0}","{'buffalo': 0.4, 'hamster': 0.4, 'fox': 0.2}"
0,fox,2,Is the item you are thinking of a large mammal?,No.,"[{'hamster', 'partridge'}, {'hamster', 'partridge'}, {'hamster', 'partridge'}, {'hamster'}, {'hamster', 'partridge'}]","{'hamster': 3.0, 'partridge': 2.0}","{'hamster': 0.6, 'partridge': 0.4}"
0,fox,3,Is the item you are thinking of a small mammal?,Yes.,"[{'hamster', 'partridge'}, {'hamster', 'partridge'}, {'hamster'}, {'hamster', 'partridge'}, {'hamster', 'partridge'}]","{'hamster': 3.0, 'partridge': 2.0}","{'hamster': 0.6, 'partridge': 0.4}"
0,fox,4,Is the item you are thinking of commonly kept as a pet?,No.,"[{'hamster', 'partridge'}, {'hamster', 'partridge'}, {'hamster', 'partridge'}, {'hamster'}, {'hamster', 'partridge'}]","{'hamster': 3.0, 'partridge': 2.0}","{'hamster': 0.6, 'partridge': 0.4}"
0,fox,5,Is the item you are thinking of a rodent?,No.,"[{'buffalo', 'hamster'}, {'hamster'}, {'buffalo', 'hamster'}, {'buffalo', 'hamster'}, {'buffalo', 'hamster'}]","{'buffalo': 2.0, 'hamster': 3.0}","{'buffalo': 0.4, 'hamster': 0.6}"
0,fox,6,Is the item you are thinking of known for its agility and quick movements?,Yes.,"[{'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}, {'hamster'}]",{'hamster': 5.0},{'hamster': 1.0}
0,fox,7,Is the item you are thinking of a hamster?,No.,"[{'partridge', 'fox'}, {'partridge', 'fox'}, {'partridge', 'fox'}, {'partridge', 'hamster', 'fox'}, {'hamster', 'fox'}]","{'partridge': 1.8333333333333333, 'fox': 2.333333333333333, 'hamster': 0.8333333333333333}","{'partridge': 0.3667, 'fox': 0.4667, 'hamster': 0.1667}"
0,fox,8,Is the item you are thinking of a fox?,Yes! That's correct.,"[{'fox'}, {'fox'}, set(), {'elk', 'buffalo', 'chicken', 'fox', 'partridge', 'hamster'}, {'fox'}]","{'fox': 3.1666666666666665, 'elk': 0.16666666666666666, 'buffalo': 0.16666666666666666, 'chicken': 0.16666666666666666, 'partridge': 0.16666666666666666, 'hamster': 0.16666666666666666}","{'fox': 0.7917, 'elk': 0.0417, 'buffalo': 0.0417, 'chicken': 0.0417, 'partridge': 0.0417, 'hamster': 0.0417}"
1,fawn,0,Is the item you have selected a bird?,No.,"[{'sheep', 'ostrich', 'penguin', 'pelican', 'zebra', 'fawn', 'deer'}, {'sheep', 'ostrich', 'penguin', 'pelican', 'zebra', 'fawn', 'deer'}, {'sheep', 'zebra', 'deer', 'ostrich', 'fawn'}, {'sheep', 'ostrich', 'penguin', 'deer', 'zebra', 'fawn'}, {'sheep', 'zebra', 'deer', 'ostrich', 'fawn'}]","{'sheep': 0.8523809523809525, 'ostrich': 0.8523809523809525, 'penguin': 0.45238095238095233, 'pelican': 0.2857142857142857, 'zebra': 0.8523809523809525, 'fawn': 0.8523809523809525, 'deer': 0.8523809523809525}","{'sheep': 0.1705, 'ostrich': 0.1705, 'penguin': 0.0905, 'pelican': 0.0571, 'zebra': 0.1705, 'fawn': 0.1705, 'deer': 0.1705}"
1,fawn,1,Is the item you have selected a mammal?,Yes.,"[{'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}, {'sheep', 'penguin', 'deer', 'zebra', 'fawn'}, {'deer', 'fawn', 'sheep'}]","{'deer': 1.5333333333333332, 'fawn': 1.5333333333333332, 'sheep': 1.5333333333333332, 'penguin': 0.2, 'zebra': 0.2}","{'deer': 0.3067, 'fawn': 0.3067, 'sheep': 0.3067, 'penguin': 0.04, 'zebra': 0.04}"
1,fawn,2,Is the item you have selected a herbivore?,Yes.,"[{'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}, {'deer', 'fawn', 'sheep'}]","{'deer': 1.6666666666666665, 'fawn': 1.6666666666666665, 'sheep': 1.6666666666666665}","{'deer': 0.3333, 'fawn': 0.3333, 'sheep': 0.3333}"
1,fawn,3,Is the item you have selected a deer?,Yes! That's correct.,"[{'deer'}, {'deer'}, {'deer'}, {'deer'}, {'deer'}]",{'deer': 5.0},{'deer': 1.0}
