dialogue_id,target,intra_dialogue_id,question,answer,candidates,candidates_scores,p_distribuition
0,fox,0,Is the item you are thinking of a bird?,No.,"[{'hamster', 'buffalo', 'elk', 'fox', 'chicken'}, {'hamster', 'buffalo', 'elk', 'fox', 'chicken'}, {'hamster', 'buffalo', 'elk', 'fox', 'chicken'}, {'hamster', 'buffalo', 'elk', 'fox', 'chicken'}, {'hamster', 'buffalo', 'elk', 'fox', 'chicken'}]","{'hamster': 1.0, 'buffalo': 1.0, 'elk': 1.0, 'fox': 1.0, 'chicken': 1.0}","{'hamster': 0.2, 'buffalo': 0.2, 'elk': 0.2, 'fox': 0.2, 'chicken': 0.2}"
0,fox,1,Is the item you are thinking of a mammal?,Yes.,"[{'fox', 'hamster', 'elk'}, {'fox', 'hamster', 'elk'}, {'fox', 'hamster', 'elk', 'buffalo'}, {'fox', 'hamster', 'elk'}, {'fox', 'hamster', 'elk', 'buffalo'}]","{'fox': 1.5, 'hamster': 1.5, 'elk': 1.5, 'buffalo': 0.5}","{'fox': 0.3, 'hamster': 0.3, 'elk': 0.3, 'buffalo': 0.1}"
0,fox,2,Is the item you are thinking of a large mammal?,No.,"[{'fox', 'hamster'}, {'fox', 'hamster', 'elk'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'fox', 'hamster'}, {'fox', 'hamster'}]","{'fox': 2.033333333333333, 'hamster': 2.033333333333333, 'elk': 0.5333333333333333, 'chicken': 0.2, 'buffalo': 0.2}","{'fox': 0.4067, 'hamster': 0.4067, 'elk': 0.1067, 'chicken': 0.04, 'buffalo': 0.04}"
0,fox,3,Is the item you are thinking of a small mammal?,Yes.,"[{'fox', 'hamster'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'fox', 'hamster'}, {'fox', 'hamster'}, {'fox', 'hamster'}]","{'fox': 2.2, 'hamster': 2.2, 'elk': 0.2, 'chicken': 0.2, 'buffalo': 0.2}","{'fox': 0.44, 'hamster': 0.44, 'elk': 0.04, 'chicken': 0.04, 'buffalo': 0.04}"
0,fox,4,Is the item you are thinking of commonly kept as a pet?,No.,"[{'fox'}, {'fox'}, {'fox'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}]","{'fox': 3.4000000000000004, 'elk': 0.4, 'chicken': 0.4, 'hamster': 0.4, 'buffalo': 0.4}","{'fox': 0.68, 'elk': 0.08, 'chicken': 0.08, 'hamster': 0.08, 'buffalo': 0.08}"
0,fox,5,Is the item you are thinking of a rodent?,No.,"[{'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'fox'}]","{'elk': 0.8, 'chicken': 0.8, 'hamster': 0.8, 'fox': 1.8, 'buffalo': 0.8}","{'elk': 0.16, 'chicken': 0.16, 'hamster': 0.16, 'fox': 0.36, 'buffalo': 0.16}"
0,fox,6,Is the item you are thinking of known for its agility and quick movements?,Yes.,"[{'fox'}, {'fox'}, {'fox'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}]","{'fox': 3.4000000000000004, 'elk': 0.4, 'chicken': 0.4, 'hamster': 0.4, 'buffalo': 0.4}","{'fox': 0.68, 'elk': 0.08, 'chicken': 0.08, 'hamster': 0.08, 'buffalo': 0.08}"
0,fox,7,Is the item you are thinking of a hamster?,No.,"[{'elk', 'chicken', 'hamster', 'fox', 'buffalo'}, {'fox'}, {'fox'}, {'fox'}, {'fox'}]","{'elk': 0.2, 'chicken': 0.2, 'hamster': 0.2, 'fox': 4.2, 'buffalo': 0.2}","{'elk': 0.04, 'chicken': 0.04, 'hamster': 0.04, 'fox': 0.84, 'buffalo': 0.04}"
0,fox,8,Is the item you are thinking of a fox?,Yes! That's correct.,"[{'fox'}, {'fox'}, {'fox'}, {'fox'}, {'elk', 'chicken', 'hamster', 'fox', 'buffalo'}]","{'fox': 4.2, 'elk': 0.2, 'chicken': 0.2, 'hamster': 0.2, 'buffalo': 0.2}","{'fox': 0.84, 'elk': 0.04, 'chicken': 0.04, 'hamster': 0.04, 'buffalo': 0.04}"
1,fawn,0,Is the item you have selected a bird?,No.,"[{'deer', 'zebra', 'fawn', 'sheep'}, {'deer', 'zebra', 'fawn', 'sheep'}, {'deer', 'zebra', 'fawn', 'sheep'}, {'deer', 'zebra', 'fawn', 'sheep'}, {'deer', 'zebra', 'fawn', 'sheep'}]","{'deer': 1.25, 'zebra': 1.25, 'fawn': 1.25, 'sheep': 1.25}","{'deer': 0.25, 'zebra': 0.25, 'fawn': 0.25, 'sheep': 0.25}"
